,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-23.58093,-0.52206016
1,4.9,3.0,1.4,0.2,setosa,-26.291704,-1.0936959
2,4.7,3.2,1.3,0.2,setosa,-26.193335,0.053057183
3,4.6,3.1,1.5,0.2,setosa,-26.638256,-0.32169643
4,5.0,3.6,1.4,0.2,setosa,-23.545013,-0.9413765
5,5.4,3.9,1.7,0.4,setosa,-21.608295,-0.81096125
6,4.6,3.4,1.4,0.3,setosa,-25.9608,0.45846495
7,5.0,3.4,1.5,0.2,setosa,-24.347078,-0.49607697
8,4.4,2.9,1.4,0.2,setosa,-27.391277,-0.30168164
9,4.9,3.1,1.5,0.1,setosa,-25.76877,-0.94529307
10,5.4,3.7,1.5,0.2,setosa,-22.065428,-0.18250947
11,4.8,3.4,1.6,0.2,setosa,-24.949524,-0.873362
12,4.8,3.0,1.4,0.1,setosa,-26.57461,-0.8873915
13,4.3,3.0,1.1,0.1,setosa,-27.517138,0.3227356
14,5.8,4.0,1.2,0.2,setosa,-20.774971,-0.09777878
15,5.7,4.4,1.5,0.4,setosa,-20.593124,-0.6525836
16,5.4,3.9,1.3,0.4,setosa,-21.47291,-0.41266248
17,5.1,3.5,1.4,0.3,setosa,-23.540165,-0.34056273
18,5.7,3.8,1.7,0.3,setosa,-21.291426,0.0989725
19,5.1,3.8,1.5,0.3,setosa,-22.521751,-0.99630284
20,5.4,3.4,1.7,0.2,setosa,-22.683933,0.57033443
21,5.1,3.7,1.5,0.4,setosa,-22.810125,-0.80468774
22,4.6,3.6,1.0,0.2,setosa,-25.931856,1.2478225
23,5.1,3.3,1.7,0.5,setosa,-24.034721,0.74550486
24,4.8,3.4,1.9,0.2,setosa,-24.890816,-1.7191359
25,5.0,3.0,1.6,0.2,setosa,-25.889183,-1.4403578
26,5.0,3.4,1.6,0.4,setosa,-24.192595,0.22381954
27,5.2,3.5,1.5,0.2,setosa,-23.14039,-0.18138015
28,5.2,3.4,1.4,0.2,setosa,-23.49459,-0.041237142
29,4.7,3.2,1.6,0.2,setosa,-25.922829,-0.43075055
30,4.8,3.1,1.6,0.2,setosa,-25.945637,-0.90070784
31,5.4,3.4,1.5,0.4,setosa,-22.773811,0.5283394
32,5.2,4.1,1.5,0.1,setosa,-21.453854,-1.2310667
33,5.5,4.2,1.4,0.2,setosa,-20.90436,-0.7360669
34,4.9,3.1,1.5,0.2,setosa,-25.705849,-0.78131926
35,5.0,3.2,1.2,0.2,setosa,-25.222486,-0.032406624
36,5.5,3.5,1.3,0.2,setosa,-22.160969,0.44967338
37,4.9,3.6,1.4,0.1,setosa,-23.900927,-1.1854687
38,4.4,3.0,1.3,0.2,setosa,-27.27537,0.008646029
39,5.1,3.4,1.5,0.2,setosa,-23.977861,-0.25996584
40,5.0,3.5,1.3,0.3,setosa,-23.96155,-0.6345573
41,4.5,2.3,1.3,0.3,setosa,-27.862879,-0.88140756
42,4.4,3.2,1.3,0.2,setosa,-26.925407,0.4440372
43,5.0,3.5,1.6,0.6,setosa,-23.80715,0.7483487
44,5.1,3.8,1.9,0.4,setosa,-22.27195,-1.660612
45,4.8,3.0,1.4,0.3,setosa,-26.550423,-0.8156088
46,5.1,3.8,1.6,0.2,setosa,-22.466906,-1.1246562
47,4.6,3.2,1.4,0.2,setosa,-26.444187,0.043641835
48,5.3,3.7,1.5,0.2,setosa,-22.328178,-0.38780516
49,5.0,3.3,1.4,0.2,setosa,-24.732807,-0.37259486
50,7.0,3.2,4.7,1.4,versicolor,7.6705794,-1.790823
51,6.4,3.2,4.5,1.5,versicolor,7.78294,-0.078932725
52,6.9,3.1,4.9,1.5,versicolor,8.175531,-1.9917315
53,5.5,2.3,4.0,1.3,versicolor,5.6569448,4.655327
54,6.5,2.8,4.6,1.5,versicolor,8.097627,-0.5455192
55,5.7,2.8,4.5,1.3,versicolor,7.1858263,2.9183328
56,6.3,3.3,4.7,1.6,versicolor,8.537583,0.057334624
57,4.9,2.4,3.3,1.0,versicolor,4.090632,5.25111
58,6.6,2.9,4.6,1.3,versicolor,7.666016,-0.7603796
59,5.2,2.7,3.9,1.4,versicolor,6.127455,4.680198
60,5.0,2.0,3.5,1.0,versicolor,4.399843,5.4370255
61,5.9,3.0,4.2,1.5,versicolor,6.7573066,2.2545052
62,6.0,2.2,4.0,1.0,versicolor,5.74789,5.136689
63,6.1,2.9,4.7,1.4,versicolor,8.215998,0.872166
64,5.6,2.9,3.6,1.3,versicolor,4.755993,3.69317
65,6.7,3.1,4.4,1.4,versicolor,7.310805,-0.8540354
66,5.6,3.0,4.5,1.5,versicolor,7.506555,2.9386575
67,5.8,2.7,4.1,1.0,versicolor,5.58164,3.3252606
68,6.2,2.2,4.5,1.5,versicolor,9.194669,2.419967
69,5.6,2.5,3.9,1.1,versicolor,5.350625,4.2381907
70,5.9,3.2,4.8,1.8,versicolor,9.797067,0.87604654
71,6.1,2.8,4.0,1.3,versicolor,5.8565507,2.33509
72,6.3,2.5,4.9,1.5,versicolor,9.885935,-0.73721254
73,6.1,2.8,4.7,1.2,versicolor,7.8844776,1.0963889
74,6.4,2.9,4.3,1.3,versicolor,7.06188,0.34934917
75,6.6,3.0,4.4,1.4,versicolor,7.338409,-0.51588315
76,6.8,2.8,4.8,1.4,versicolor,8.129013,-1.5218132
77,6.7,3.0,5.0,1.7,versicolor,9.117991,-2.2497323
78,6.0,2.9,4.5,1.5,versicolor,7.7534685,1.5216622
79,5.7,2.6,3.5,1.0,versicolor,4.5602565,4.2326927
80,5.5,2.4,3.8,1.1,versicolor,5.129465,4.6040177
81,5.5,2.4,3.7,1.0,versicolor,4.888136,4.670323
82,5.8,2.7,3.9,1.2,versicolor,5.4117856,3.516569
83,6.0,2.7,5.1,1.6,versicolor,10.764913,-0.29431129
84,5.4,3.0,4.5,1.5,versicolor,7.523793,3.4607685
85,6.0,3.4,4.5,1.6,versicolor,8.6829605,1.0610461
86,6.7,3.1,4.7,1.5,versicolor,7.9267354,-1.3035134
87,6.3,2.3,4.4,1.3,versicolor,8.95549,2.4690442
88,5.6,3.0,4.1,1.3,versicolor,6.357071,3.241376
89,5.5,2.5,4.0,1.3,versicolor,5.812013,4.305621
90,5.5,2.6,4.4,1.2,versicolor,6.7527156,3.9777448
91,6.1,3.0,4.6,1.4,versicolor,7.9511867,0.9593248
92,5.8,2.6,4.0,1.2,versicolor,5.6135287,3.6829877
93,5.0,2.3,3.3,1.0,versicolor,4.148424,5.2342253
94,5.6,2.7,4.2,1.3,versicolor,6.3947444,3.7455275
95,5.7,3.0,4.2,1.2,versicolor,6.413229,2.9482615
96,5.7,2.9,4.2,1.3,versicolor,6.4961023,3.0821834
97,6.2,2.9,4.3,1.3,versicolor,6.992727,1.1864136
98,5.1,2.5,3.0,1.1,versicolor,3.9120288,5.168712
99,5.7,2.8,4.1,1.3,versicolor,6.1120286,3.3457491
100,6.3,3.3,6.0,2.5,virginica,13.520669,-4.7130547
101,5.8,2.7,5.1,1.9,virginica,11.334437,0.37320504
102,7.1,3.0,5.9,2.1,virginica,12.168809,-6.1831946
103,6.3,2.9,5.6,1.8,virginica,11.895745,-2.9458523
104,6.5,3.0,5.8,2.2,virginica,12.521591,-4.495498
105,7.6,3.0,6.6,2.1,virginica,12.545851,-7.6091084
106,4.9,2.5,4.5,1.7,virginica,7.5197086,4.7345886
107,7.3,2.9,6.3,1.8,virginica,12.026836,-7.1566978
108,6.7,2.5,5.8,1.8,virginica,10.9437685,-5.4504275
109,7.2,3.6,6.1,2.5,virginica,13.217764,-6.4476833
110,6.5,3.2,5.1,2.0,virginica,10.820533,-3.4284225
111,6.4,2.7,5.3,1.9,virginica,11.233922,-2.4802635
112,6.8,3.0,5.5,2.1,virginica,11.777443,-4.7598634
113,5.7,2.5,5.0,2.0,virginica,11.601465,0.6234676
114,5.8,2.8,5.1,2.4,virginica,12.134645,0.44144282
115,6.4,3.2,5.3,2.3,virginica,12.598904,-3.8100817
116,6.5,3.0,5.5,1.8,virginica,11.644928,-3.3574336
117,7.7,3.8,6.7,2.2,virginica,13.302604,-7.4987235
118,7.7,2.6,6.9,2.3,virginica,12.404704,-7.991484
119,6.0,2.2,5.0,1.5,virginica,11.187272,-0.5158957
120,6.9,3.2,5.7,2.3,virginica,12.410797,-5.4347854
121,5.6,2.8,4.9,2.0,virginica,11.348323,0.9550821
122,7.7,2.8,6.7,2.0,virginica,12.406579,-7.789856
123,6.3,2.7,4.9,1.8,virginica,10.173619,-0.7241074
124,6.7,3.3,5.7,2.1,virginica,12.436342,-5.048616
125,7.2,3.2,6.0,1.8,virginica,12.045169,-6.6160755
126,6.2,2.8,4.8,1.8,virginica,9.914613,-0.1831364
127,6.1,3.0,4.9,1.8,virginica,10.028654,0.22516537
128,6.4,2.8,5.6,2.1,virginica,12.056738,-3.7001128
129,7.2,3.0,5.8,1.6,virginica,11.592992,-6.5559235
130,7.4,2.8,6.1,1.9,virginica,11.990281,-7.059977
131,7.9,3.8,6.4,2.0,virginica,13.289911,-7.4853177
132,6.4,2.8,5.6,2.2,virginica,12.167473,-3.8614445
133,6.3,2.8,5.1,1.5,virginica,10.067422,-1.1018765
134,6.1,2.6,5.6,1.4,virginica,11.725787,-1.56192
135,7.7,3.0,6.1,2.3,virginica,12.597416,-7.224454
136,6.3,3.4,5.6,2.4,virginica,13.272844,-4.1939383
137,6.4,3.1,5.5,1.8,virginica,11.753892,-3.2270586
138,6.0,3.0,4.8,1.8,virginica,9.926422,0.5480639
139,6.9,3.1,5.4,2.1,virginica,11.630223,-4.8775725
140,6.7,3.1,5.6,2.4,virginica,12.46354,-4.8195
141,6.9,3.1,5.1,2.3,virginica,11.074054,-4.504594
142,5.8,2.7,5.1,1.9,virginica,11.334437,0.37320504
143,6.8,3.2,5.9,2.3,virginica,12.740586,-5.528937
144,6.7,3.3,5.7,2.5,virginica,13.016592,-5.062658
145,6.7,3.0,5.2,2.3,virginica,11.363099,-4.2890773
146,6.3,2.5,5.0,1.9,virginica,10.691204,-1.0154437
147,6.5,3.0,5.2,2.0,virginica,11.097084,-3.3571842
148,6.2,3.4,5.4,2.3,virginica,13.195991,-3.7245474
149,5.9,3.0,5.1,1.8,virginica,10.71241,0.4276332
